ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent
07481;2018-08-10T05:00:00+02:00;102380;80;1;260;1.2;289.15;285.15;77;40000;1;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;25;2;;30;23;10;99540;;;1090;;;;;;;;1.700000;4.700000;-10;1;0.000000;0.000000;-30;0.0;0.0;0.000000;-0.1;8.0;;;;;2;3;3000;;;;;;;;;;45.7265, 5.077833;LYON-ST EXUPERY;1;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;1
07481;2018-08-16T08:00:00+02:00;101740;20;3;150;1.4;291.55;288.05;80;;3;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;10;0;8000;30;20;11;98950;;;-240;289.750000;;299.050000;;;;;1.800000;1.800000;-10;0;0.000000;0.000000;-60;0.0;0.0;0.000000;0.0;0.0;;;;;1;0;8000;;;;;;;;;;45.7265, 5.077833;LYON-ST EXUPERY;3;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;3
07481;2018-08-14T20:00:00+02:00;101730;80;3;360;6.6;296.95;285.85;50;50000;1;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;40;2;1750;38;23;10;98980;;;530;291.450000;;298.350000;;;;;8.700000;9.400000;-10;0;0.000000;0.000000;-60;0.0;0.0;-0.100000;-0.1;4.0;;;;;1;8;1600;1;6;2200;1;3;2600;;;;45.7265, 5.077833;LYON-ST EXUPERY;3;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;1
07481;2018-08-20T11:00:00+02:00;101970;20;1;360;3.8;297.75;286.05;48;50000;2;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;10;0;;30;20;11;99220;;;-220;;;;;;;;5.800000;5.900000;-10;0;0.000000;0.000000;-30;0.0;0.0;0.000000;0.0;0.0;;;;;1;0;9000;;;;;;;;;;45.7265, 5.077833;LYON-ST EXUPERY;1;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;2
07481;2018-08-24T23:00:00+02:00;101700;110;2;290;2.6;292.15;284.45;61;50000;2;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;90;2;1750;35;20;11;98910;;;250;;;;;;;;3.700000;10.400000;-10;0;0.000000;0.000000;-30;0.0;0.0;0.000000;0.0;0.0;;;;;2;6;1800;6;0;9000;;;;;;;45.7265, 5.077833;LYON-ST EXUPERY;2;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2
07481;2018-08-25T17:00:00+02:00;101520;-130;8;10;2.0;293.55;281.25;45;50000;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;75;4;1250;38;23;11;98740;;;20;;;;;;;;4.600000;6.400000;-10;0;0.000000;0.000000;-30;0.0;0.0;0.000000;0.0;0.0;;;;;3;8;1350;2;6;2200;2;3;3200;3;0;8000;45.7265, 5.077833;LYON-ST EXUPERY;8;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;3
07481;2018-08-21T20:00:00+02:00;101500;-20;5;350;4.1;302.15;288.65;44;50000;2;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;10;0;8000;30;20;13;98810;;;-150;292.750000;;303.750000;;;;;5.600000;6.800000;-10;0;0.000000;0.000000;-60;0.0;0.0;0.000000;0.0;0.0;;;;;1;0;8000;;;;;;;;;;45.7265, 5.077833;LYON-ST EXUPERY;5;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;2
07481;2018-08-22T05:00:00+02:00;101650;0;0;200;0.7;293.65;288.85;74;40000;2;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;0;0;;30;20;10;98880;;;-130;;;;;;;;1.100000;2.600000;-10;0;0.000000;0.000000;-30;0.0;0.0;0.000000;0.0;0.0;;;;;;;;;;;;;;;;;45.7265, 5.077833;LYON-ST EXUPERY;0;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;2
07481;2018-06-08T14:00:00+02:00;101210;-110;8;10;1.3;296.55;289.55;65;29000;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;100;8;800;38;;;98480;;;-230;;;;;;;;3.100000;7.000000;-10;1;0.000000;0.000000;-60;0.0;0.0;0.000000;-0.1;14.0;;;;;6;8;;;;;;;;;;;45.7265, 5.077833;LYON-ST EXUPERY;8;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;3
07481;2018-05-18T08:00:00+02:00;101910;80;3;280;1.3;285.25;283.45;89;7000;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;100;8;150;36;;;99050;;;150;285.050000;;291.050000;;;;;2.200000;2.300000;-10;0;0.000000;0.000000;-60;0.0;0.0;0.000000;-0.1;-0.1;;;;;;;;;;;;;;;;;45.7265, 5.077833;LYON-ST EXUPERY;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;3
