ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent
7222;2018-01-01T01:00:00+01:00;101380;220;1;270;6.4;282.05;277.45;73;45520;0;;;;1;1250;;;;101060;;;-70;;;;;278.550000;;;10.400000;13.400000;-10;1;0.000000;;;0.0;-0.1;0.200000;3.8;4.2;;;;;1;;1260;;;;;;;;;;47.15, -1.608833;NANTES-BOUGUENAIS;1;;0
7222;2018-01-01T04:00:00+01:00;101480;100;2;240;4.6;282.15;279.25;82;11900;0;;;100;7;800;;;;101160;;;220;;;;;278.350000;;;7.600000;9.300000;-10;;;;;0.0;-0.1;-0.100000;1.4;4.2;;;;;1;;960;7;;1170;7;;1380;;;;47.15, -1.608833;NANTES-BOUGUENAIS;2;;0
7222;2018-01-01T07:00:00+01:00;101060;-410;8;220;7.3;283.85;281.65;86;11650;0;;;;;;;;;100750;;;60;281.350000;;283.850000;;278.350000;;;13.900000;13.900000;-10;2;0.000000;;;-0.1;2.2;2.200000;2.4;6.4;;;;;;;;;;;;;;;;;47.15, -1.608833;NANTES-BOUGUENAIS;8;;0
7222;2018-01-01T10:00:00+01:00;100510;-550;6;240;11.2;284.25;282.15;87;13620;0;;;;;;;;;100200;;;-260;;;;;278.350000;;;20.300000;20.900000;-10;2;0.000000;;;-0.1;2.0;4.200000;4.2;8.4;;;;;;;;;;;;;;;;;47.15, -1.608833;NANTES-BOUGUENAIS;6;;0
7222;2018-01-01T13:00:00+01:00;100370;-140;5;280;10.5;283.55;280.95;84;13850;0;;;;;;;;;100060;;;-300;;;;;278.350000;;;17.000000;18.000000;-10;2;0.000000;;;-0.1;4.9;6.900000;9.1;12.9;;;;;;;;;;;;;;;;;47.15, -1.608833;NANTES-BOUGUENAIS;5;;0
7222;2018-01-01T16:00:00+01:00;100910;540;3;300;8.3;284.15;278.45;68;47750;0;;;90;7;1250;;;;100600;;;240;;;;;278.850000;;;15.200000;16.200000;-10;0;0.000000;;;0.0;0.0;4.900000;9.1;10.5;;;;;6;;1140;7;;1320;;;;;;;47.15, -1.608833;NANTES-BOUGUENAIS;3;;0
7222;2018-01-01T19:00:00+01:00;101500;580;1;290;6.0;282.55;277.75;72;45520;0;;;;0;;;;;101180;;;640;280.850000;;284.750000;;279.150000;;;10.400000;10.600000;-10;0;0.000000;;;0.0;0.0;0.000000;6.9;9.3;;;;;;;;;;;;;;;;;47.15, -1.608833;NANTES-BOUGUENAIS;1;;0
7222;2018-01-01T22:00:00+01:00;101920;420;1;280;4.8;281.85;278.25;78;18370;0;;;;0;;;;;101600;;;760;;;;;277.350000;;;7.900000;8.300000;-10;0;0.000000;;;0.0;0.0;0.000000;4.9;9.1;;;;;;;;;;;;;;;;;47.15, -1.608833;NANTES-BOUGUENAIS;1;;0
7222;2018-01-02T01:00:00+01:00;102040;120;1;240;2.9;279.35;277.35;87;15310;0;;;100;7;800;;;;101720;;;660;;;;;275.650000;;;4.100000;4.100000;-10;;0.000000;;;0.0;0.0;0.000000;0.0;9.1;;;;;2;;900;7;;1110;7;;4500;;;;47.15, -1.608833;NANTES-BOUGUENAIS;1;;0
7222;2018-01-02T04:00:00+01:00;101980;-60;6;200;3.2;281.15;279.95;92;13300;0;;;100;1;1250;;;;101660;;;500;;;;;275.650000;;;3.700000;3.700000;-10;1;0.000000;;;0.0;0.0;0.000000;0.0;9.1;;;;;1;;1170;5;;1620;8;;2940;;;;47.15, -1.608833;NANTES-BOUGUENAIS;6;;0
