ID OMM station;Date;Pression au niveau mer;Variation de pression en 3 heures;Type de tendance barométrique;Direction du vent moyen 10 mn;Vitesse du vent moyen 10 mn;Température;Point de rosée;Humidité;Visibilité horizontale;Temps présent;Temps passé 1;Temps passé 2;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Type des nuages de l'étage inférieur;Type des nuages de l'étage moyen;Type des nuages de l'étage supérieur;Pression station;Niveau barométrique;Géopotentiel;Variation de pression en 24 heures;Température minimale sur 12 heures;Température minimale sur 24 heures;Température maximale sur 12 heures;Température maximale sur 24 heures;Température minimale du sol sur 12 heures;Méthode de mesure Température du thermomètre mouillé;Température du thermomètre mouillé;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Etat du sol;Hauteur totale de la couche de neige, glace, autre au sol;Hauteur de la neige fraîche;Periode de mesure de la neige fraiche;Précipitations dans la dernière heure;Précipitations dans les 3 dernières heures;Précipitations dans les 6 dernières heures;Précipitations dans les 12 dernières heures;Précipitations dans les 24 dernières heures;Phénomène spécial 1;Phénomène spécial 2;Phénomène spécial 3;Phénomène spécial 4;Nébulosité couche nuageuse 1;Type nuage 1;Hauteur de base 1;Nébulosité couche nuageuse 2;Type nuage 2;Hauteur de base 2;Nébulosité couche nuageuse 3;Type nuage 3;Hauteur de base 3;Nébulosité couche nuageuse 4;Type nuage 4;Hauteur de base 4;Coordonnees;Nom;Type de tendance barométrique;Temps passé 1;Temps présent
7690;2018-05-14T02:00:00+02:00;100770;-30;8;100;2.9;284.65;281.55;81;25000;61;Averse(s);6;90;7;800;38;;;100460;;;-610;;;;;284.650000;;;4.200000;7.000000;-10;2;0.000000;;;1.2;8.1;8.100000;16.9;18.3;;;;;7;6;;;;;;;;;;;43.648833, 7.209;NICE;8;Averse(s);61
7690;2018-05-14T05:00:00+02:00;100760;-10;5;320;1.5;284.35;282.25;87;25000;61;Orage(s) avec ou sans précipitations;6;90;7;450;39;;;100450;;;-490;;;;;284.250000;;;2.200000;9.400000;-10;2;0.000000;;;1.0;10.3;18.400000;19.2;28.6;;;;;7;6;;1;9;;;;;;;;43.648833, 7.209;NICE;5;Orage(s) avec ou sans précipitations;61
7690;2018-05-14T08:00:00+02:00;100850;90;3;320;3.6;283.95;282.25;89;20000;61;Pluie;6;90;7;450;38;;;100540;;;-360;283.550000;;287.250000;;284.250000;;;4.900000;4.900000;-10;2;0.000000;;;1.4;3.6;13.900000;22.0;32.2;;;;;7;6;;;;;;;;;;;43.648833, 7.209;NICE;3;Pluie;61
7690;2018-05-14T11:00:00+02:00;100960;110;3;270;1.3;285.05;280.95;76;12000;63;Pluie;6;90;7;450;38;;;100650;;;-180;;;;;284.250000;;;2.400000;4.300000;-10;2;0.000000;;;0.2;0.8;4.400000;22.8;33.0;;;;;7;6;;;;;;;;;;;43.648833, 7.209;NICE;3;Pluie;63
7690;2018-05-14T14:00:00+02:00;101110;150;1;70;0.9;285.85;280.75;71;50000;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;75;6;800;38;20;10;100800;;;0;;;;;284.250000;;;2.000000;4.000000;-10;2;0.000000;;;0.0;5.0;5.800000;19.7;36.6;;;;;6;6;;;;;;;;;;;43.648833, 7.209;NICE;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;1
7690;2018-05-14T17:00:00+02:00;101180;70;3;100;3.1;287.55;281.25;66;50000;1;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;75;3;800;38;23;11;100870;;;280;;;;;284.550000;;;4.200000;4.300000;-10;2;0.000000;;;0.0;0.0;5.000000;9.4;28.6;;;;;2;6;;3;3;;2;0;;;;;43.648833, 7.209;NICE;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;1
7690;2018-05-14T20:00:00+02:00;101250;70;2;310;1.9;286.75;282.55;76;50000;15;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;90;7;800;35;;;100940;;;450;283.850000;;288.150000;;285.450000;;;2.800000;4.900000;-10;2;0.000000;;;0.0;0.0;0.000000;5.8;27.8;;;;;6;6;;;;;;;;;;;43.648833, 7.209;NICE;2;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;15
7690;2018-05-14T23:00:00+02:00;101330;80;3;310;2.5;285.85;283.05;83;50000;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;2;75;6;800;35;20;10;101020;;;530;;;;;285.450000;;;2.900000;5.700000;-10;2;0.000000;;;0.0;0.0;0.000000;5.0;27.8;;;;;5;6;;6;6;;;;;;;;43.648833, 7.209;NICE;3;Nuages couvrant plus de la moitié du ciel pendant toute la période considérée;3
7690;2018-05-15T02:00:00+02:00;101250;-80;8;340;3.2;284.25;282.15;87;50000;3;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;1;50;4;800;35;20;10;100940;;;480;;;;;284.750000;;;4.000000;4.600000;-10;2;0.000000;;;0.0;0.0;0.000000;0.0;19.7;;;;;4;6;;;;;;;;;;;43.648833, 7.209;NICE;8;Nuages couvrant plus de la moitié du ciel pendant une partie de la période considérée et couvrant la moitié du ciel, ou moins, pendant l’autre partie;3
7690;2018-05-15T05:00:00+02:00;101090;-160;8;330;3.5;283.45;281.25;86;50000;1;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;0;0;;30;20;10;100780;;;330;;;;;283.550000;;;4.500000;4.800000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;9.4;;;;;;;;;;;;;;;;;43.648833, 7.209;NICE;8;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;1
7690;2018-05-15T08:00:00+02:00;101080;-10;0;340;2.9;285.15;281.45;78;50000;2;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;25;1;800;35;20;11;100770;;;230;283.150000;;286.950000;;283.250000;;;3.900000;5.600000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;5.8;;;;;2;0;;;;;;;;;;;43.648833, 7.209;NICE;0;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;2
7690;2018-05-15T11:00:00+02:00;101070;-10;6;130;2.4;288.65;282.75;68;50000;2;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;0;40;3;1250;35;20;11;100760;;;110;;;;;283.250000;;;3.200000;3.700000;-10;0;0.000000;;;0.0;0.0;0.000000;0.0;5.0;;;;;1;0;;;;;;;;;;;43.648833, 7.209;NICE;6;Nuages ne couvrant pas plus de la moitié du ciel pendant toute la période considérée;2
